analysis,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
A_final_MEC,SOMATIC_SCORE,A_PCs_plus_scalar_G,A_FROZEN_PC1_MEC_Z,-0.132685330071684,0.0355013743126688,-0.209381386398127,-0.055989273745241,0.0024860726187165,0.00372910892807475
A_final_MEC,SOMATIC_SCORE,A_PCs_plus_scalar_G,A_FROZEN_PC2_MEC_Z,-0.0133505945775332,0.0360523572216057,-0.0912369771106902,0.0645357879556238,0.717113987589142,0.717113987589142
A_final_MEC,SOMATIC_SCORE,A_PCs_plus_scalar_G,A_FROZEN_PC3_MEC_Z,0.130241675449222,0.026669405358749,0.0726259280256795,0.187857422872764,0.0002987162167461,0.0008961486502383
A_final_MEC,SOMATIC_SCORE,A_PCs_plus_scalar_G,G_HBA1C,0.107195167458266,0.0487917756878277,0.0017869445691191,0.212603390347412,0.0467550157697203,
A_final_MEC,SOMATIC_SCORE,union,A,0.116768909437742,0.102395886262864,-0.106332561256931,0.339870380132416,0.27638276322144,
A_final_MEC,SOMATIC_SCORE,union,A_FROZEN_PC1_MEC_Z,-0.107507092574357,0.0381983358302043,-0.190734116753143,-0.0242800683955701,0.015620101964046,0.023430152946069
A_final_MEC,SOMATIC_SCORE,union,A_FROZEN_PC2_MEC_Z,-0.0060678408585997,0.0358916848575861,-0.0842691043046814,0.0721334225874819,0.86856591110567,0.8685659111056699
A_final_MEC,SOMATIC_SCORE,union,A_FROZEN_PC3_MEC_Z,0.127842609177337,0.0266192974484648,0.0698441423798939,0.18584107597478,0.0004316016250759,0.0012948048752276999
A_final_MEC,SOMATIC_SCORE,union,G_HBA1C,0.107085420013013,0.0488164442057345,0.0007235250788242,0.213447314947202,0.0486896046058252,
A_final_MEC,PHQ9_TOTAL,A_PCs_plus_scalar_G,A_FROZEN_PC1_MEC_Z,-0.21601406286922,0.0691257485020764,-0.365351163287636,-0.0666769624508044,0.0080507688594169,0.012076153289125351
A_final_MEC,PHQ9_TOTAL,A_PCs_plus_scalar_G,A_FROZEN_PC2_MEC_Z,-0.0364207012857355,0.0708990601438357,-0.189588808593149,0.116747406021677,0.616082455994479,0.616082455994479
A_final_MEC,PHQ9_TOTAL,A_PCs_plus_scalar_G,A_FROZEN_PC3_MEC_Z,0.228895623733841,0.0526371296940613,0.115180018576624,0.342611228891057,0.0007890957112754,0.0023672871338262
A_final_MEC,PHQ9_TOTAL,A_PCs_plus_scalar_G,G_HBA1C,0.195834132217526,0.0860781895817371,0.0098735094400789,0.381794754994973,0.0404866439527621,
A_final_MEC,PHQ9_TOTAL,union,A,0.133848199073612,0.172994436054164,-0.243074297662247,0.51077069580947,0.454073080619019,
A_final_MEC,PHQ9_TOTAL,union,A_FROZEN_PC1_MEC_Z,-0.187153112115356,0.0763604518570351,-0.353528244300651,-0.0207779799300609,0.0305419351297909,0.04581290269468635
