"analysis","outcome","model","weighted_R2","n","design_df"
"A_final_MEC","SOMATIC_SCORE","X",0.0718238443384613,7957,31
"A_final_MEC","SOMATIC_SCORE","X_scalarA_scalarG",0.0756762074084444,7957,31
"A_final_MEC","SOMATIC_SCORE","X_Apcs_scalarG",0.0801071224540422,7957,31
"A_final_MEC","SOMATIC_SCORE","X_scalarA_Apcs_scalarG",0.0803067682590868,7957,31
"A_final_MEC","PHQ9_TOTAL","X",0.0850022056553582,7957,31
"A_final_MEC","PHQ9_TOTAL","X_scalarA_scalarG",0.0877997408750837,7957,31
"A_final_MEC","PHQ9_TOTAL","X_Apcs_scalarG",0.091508813964105,7957,31
"A_final_MEC","PHQ9_TOTAL","X_scalarA_Apcs_scalarG",0.0915775783008559,7957,31
"A_final_MEC","COGAFF_SUM","X",0.0717181451254854,7957,31
"A_final_MEC","COGAFF_SUM","X_scalarA_scalarG",0.0729811344496241,7957,31
"A_final_MEC","COGAFF_SUM","X_Apcs_scalarG",0.0749710537294441,7957,31
"A_final_MEC","COGAFF_SUM","X_scalarA_Apcs_scalarG",0.074974159945345,7957,31
"AG3_joint_fasting","SOMATIC_SCORE","X",0.0770633794773469,3815,31
"AG3_joint_fasting","SOMATIC_SCORE","X_scalarA_scalarG",0.0817017737413214,3815,31
"AG3_joint_fasting","SOMATIC_SCORE","X_Apcs_scalarG",0.0899179017595865,3815,31
"AG3_joint_fasting","SOMATIC_SCORE","X_scalarA_Gpcs",0.0830017716450394,3815,31
"AG3_joint_fasting","SOMATIC_SCORE","X_Apcs_Gpcs",0.0922979955761077,3815,31
"AG3_joint_fasting","SOMATIC_SCORE","X_scalars_Apcs_Gpcs",0.0923439186293971,3815,31
"AG3_joint_fasting","PHQ9_TOTAL","X",0.0901488817526872,3815,31
"AG3_joint_fasting","PHQ9_TOTAL","X_scalarA_scalarG",0.0944726771965686,3815,31
"AG3_joint_fasting","PHQ9_TOTAL","X_Apcs_scalarG",0.101874198038295,3815,31
"AG3_joint_fasting","PHQ9_TOTAL","X_scalarA_Gpcs",0.0955865141425374,3815,31
"AG3_joint_fasting","PHQ9_TOTAL","X_Apcs_Gpcs",0.10390114390578,3815,31
"AG3_joint_fasting","PHQ9_TOTAL","X_scalars_Apcs_Gpcs",0.104041466705895,3815,31
"AG3_joint_fasting","COGAFF_SUM","X",0.0722937813741281,3815,31
"AG3_joint_fasting","COGAFF_SUM","X_scalarA_scalarG",0.0749303988552785,3815,31
"AG3_joint_fasting","COGAFF_SUM","X_Apcs_scalarG",0.0792117974489215,3815,31
"AG3_joint_fasting","COGAFF_SUM","X_scalarA_Gpcs",0.0755165509058301,3815,31
"AG3_joint_fasting","COGAFF_SUM","X_Apcs_Gpcs",0.0802809171826621,3815,31
"AG3_joint_fasting","COGAFF_SUM","X_scalars_Apcs_Gpcs",0.080496497530728,3815,31
