population,adjustment,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
2009-2018,X3,SOMATIC_SCORE,all_PCs,A_FROZEN_PC1_FZ,-0.129431046220291,0.0401909083909922,-0.20997542651691,-0.0488866659236709,0.002150669019335,0.00430133803867
2009-2018,X3,SOMATIC_SCORE,all_PCs,A_FROZEN_PC2_FZ,0.0149520861437988,0.0232519993387114,-0.0316459618319885,0.0615501341195861,0.522866795944685,0.6905071226496984
2009-2018,X3,SOMATIC_SCORE,all_PCs,A_FROZEN_PC3_FZ,0.109954636522002,0.0293334273021772,0.0511691345610827,0.168740138482922,0.0004288872911486,0.001387964380446
2009-2018,X3,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC1_FZ,0.0971445124187158,0.026082591795836,0.0448738303956105,0.149415194441821,0.000462654793482,0.001387964380446
2009-2018,X3,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC2_FZ,0.0171365173038863,0.0304138720278251,-0.0438142442731003,0.0780872788808729,0.575422602208082,0.6905071226496984
2009-2018,X3,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC3_FZ,0.0034473475124606,0.0221021314478084,-0.0408463137150907,0.0477410087400121,0.876624964703676,0.876624964703676
2009-2018,X3,SOMATIC_SCORE,union,A,0.156897828888116,0.0866540615424059,-0.0169082080285922,0.330703865804825,0.0758691529590627,
2009-2018,X3,SOMATIC_SCORE,union,G_HBA1C,0.0709304527067431,0.118335191037816,-0.166419882822531,0.308280788236017,0.551458137942257,
2009-2018,X3,SOMATIC_SCORE,union,A_FROZEN_PC1_FZ,-0.0884313977026007,0.0431652252097981,-0.175009875304147,-0.0018529201010543,0.0454604074969198,0.1363812224907594
2009-2018,X3,SOMATIC_SCORE,union,A_FROZEN_PC2_FZ,0.022678296189937,0.0250589863292921,-0.0275836652867659,0.0729402576666398,0.369562871942489,0.5873127491002635
2009-2018,X3,SOMATIC_SCORE,union,A_FROZEN_PC3_FZ,0.10879527481103,0.029426920049212,0.0497723477677842,0.167818201854276,0.0005183100144666,0.0031098600867996004
2009-2018,X3,SOMATIC_SCORE,union,G3_FROZEN_PC1_FZ,0.0453960214656318,0.0933438026857462,-0.141827936959045,0.232619979890308,0.62873717836321,0.704100089343015
2009-2018,X3,SOMATIC_SCORE,union,G3_FROZEN_PC2_FZ,0.0316600909520779,0.036648335496544,-0.0418471612051808,0.105167343109337,0.391541832733509,0.5873127491002635
2009-2018,X3,SOMATIC_SCORE,union,G3_FROZEN_PC3_FZ,0.0108385397697381,0.0283843567150659,-0.0460932700411791,0.0677703495806554,0.704100089343015,0.704100089343015
2009-2018,X3,PHQ9_TOTAL,all_PCs,A_FROZEN_PC1_FZ,-0.179326550984654,0.080817484340651,-0.341288408876088,-0.0173646930932204,0.0306378918429129,0.06127578368582579
2009-2018,X3,PHQ9_TOTAL,all_PCs,A_FROZEN_PC2_FZ,0.0381218761923498,0.0436123797629038,-0.0492792859583227,0.125523038343022,0.385860993426142,0.578791490139213
2009-2018,X3,PHQ9_TOTAL,all_PCs,A_FROZEN_PC3_FZ,0.204631033654091,0.0671033413078962,0.0701529325647311,0.339109134743452,0.003521915935615,0.0116421157417599
2009-2018,X3,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC1_FZ,0.148918548624755,0.0493886085210396,0.0499415653642555,0.247895531885254,0.0038807052472533,0.0116421157417599
2009-2018,X3,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC2_FZ,0.0445621373036811,0.0683980618085443,-0.0925106416508206,0.181634916258183,0.517429425896528,0.6209153110758335
2009-2018,X3,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC3_FZ,0.0146512981199716,0.0429923230201327,-0.0715072425500072,0.10080983878995,0.734561020877383,0.7345610208773831
2009-2018,X3,PHQ9_TOTAL,union,A,0.202075507818059,0.180605040373589,-0.16017232864549,0.564323344281607,0.268236527809024,
2009-2018,X3,PHQ9_TOTAL,union,G_HBA1C,0.0288743397283713,0.247384655809936,-0.467316442965497,0.525065122422239,0.907524380427784,
2009-2018,X3,PHQ9_TOTAL,union,A_FROZEN_PC1_FZ,-0.126197068743032,0.093348468653869,-0.313430385914585,0.0610362484285213,0.182151131570065,0.5464533947101949
2009-2018,X3,PHQ9_TOTAL,union,A_FROZEN_PC2_FZ,0.0495017825391118,0.0462696446690883,-0.0433033719606928,0.142306937038916,0.289533115597286,0.579066231194572
2009-2018,X3,PHQ9_TOTAL,union,A_FROZEN_PC3_FZ,0.203517544756416,0.0671303984690791,0.0688710168629677,0.338164072649864,0.0037579833156981,0.0225478998941886
2009-2018,X3,PHQ9_TOTAL,union,G3_FROZEN_PC1_FZ,0.127901585564447,0.195483835212326,-0.264189334062053,0.519992505190948,0.515759265125886,0.6211342972087188
2009-2018,X3,PHQ9_TOTAL,union,G3_FROZEN_PC2_FZ,0.0502184356135188,0.0770947380195195,-0.104414026429213,0.20485089765625,0.517611914340599,0.6211342972087188
2009-2018,X3,PHQ9_TOTAL,union,G3_FROZEN_PC3_FZ,0.0147163100848673,0.0540821483686656,-0.0937587424237706,0.123191362593505,0.786594472627314,0.7865944726273139
2009-2018,X3,COGAFF_SUM,all_PCs,A_FROZEN_PC1_FZ,-0.0498955047643642,0.0481331310794146,-0.146356455007438,0.0465654454787093,0.304451736938427,0.57095144162535
2009-2018,X3,COGAFF_SUM,all_PCs,A_FROZEN_PC2_FZ,0.0231697900485513,0.0262151594972117,-0.0293665635849288,0.0757061436820313,0.3806342944169,0.57095144162535
2009-2018,X3,COGAFF_SUM,all_PCs,A_FROZEN_PC3_FZ,0.0946763971320892,0.0436955397693677,0.0071085786042846,0.182244215659894,0.0346046183249646,0.2076277099497876
2009-2018,X3,COGAFF_SUM,all_PCs,G3_FROZEN_PC1_FZ,0.0517740362060373,0.0290579436780697,-0.0064593842351081,0.110007456647183,0.0803108953662046,0.2409326860986138
2009-2018,X3,COGAFF_SUM,all_PCs,G3_FROZEN_PC2_FZ,0.0274256199997947,0.0438850254057168,-0.0605219362290435,0.115373176228633,0.534593026992754,0.6415116323913048
2009-2018,X3,COGAFF_SUM,all_PCs,G3_FROZEN_PC3_FZ,0.0112039506075108,0.025518701287559,-0.0399366695841358,0.0623445707991573,0.662346377973288,0.662346377973288
2009-2018,X3,COGAFF_SUM,union,A,0.045177678929944,0.110302040252737,-0.176060196582373,0.266415554442261,0.683763654176801,
2009-2018,X3,COGAFF_SUM,union,G_HBA1C,-0.0420561129783683,0.1515777534374,-0.346082584914713,0.261970358957977,0.782509604714184,
2009-2018,X3,COGAFF_SUM,union,A_FROZEN_PC1_FZ,-0.0377656710404293,0.0601637204421775,-0.158438812380751,0.0829074702998918,0.532886012140871,0.7993290182113064
2009-2018,X3,COGAFF_SUM,union,A_FROZEN_PC2_FZ,0.0268234863491751,0.0271678118622276,-0.0276682434950372,0.0813152161933874,0.32796897478939,0.7993290182113064
2009-2018,X3,COGAFF_SUM,union,A_FROZEN_PC3_FZ,0.094722269945386,0.0436640272963308,0.0071433220563203,0.182301217834452,0.0345619782258325,0.207371869354995
2009-2018,X3,COGAFF_SUM,union,G3_FROZEN_PC1_FZ,0.0825055640988122,0.117847908487926,-0.153867406407433,0.318878534605057,0.486925453507661,0.7993290182113064
2009-2018,X3,COGAFF_SUM,union,G3_FROZEN_PC2_FZ,0.0185583446614413,0.0502253926949952,-0.0821810355998127,0.119297724922695,0.713226423445363,0.8558717081344357
2009-2018,X3,COGAFF_SUM,union,G3_FROZEN_PC3_FZ,0.0038777703151291,0.0325986715700998,-0.061506884639281,0.0692624252695393,0.905760855631954,0.905760855631954
2021-2023,X3,SOMATIC_SCORE,all_PCs,A_FROZEN_PC1_FZ,-0.070715354264052,0.101510212662278,,,,
2021-2023,X3,SOMATIC_SCORE,all_PCs,A_FROZEN_PC2_FZ,0.142041547389735,0.050684529939346,,,,
2021-2023,X3,SOMATIC_SCORE,all_PCs,A_FROZEN_PC3_FZ,0.129841591749517,0.0385794281241203,,,,
2021-2023,X3,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC1_FZ,0.130331698032235,0.0515848838660412,,,,
2021-2023,X3,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC2_FZ,0.0970378302003474,0.0793069232848946,,,,
2021-2023,X3,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC3_FZ,-0.0194476948154689,0.0611183487155661,,,,
2021-2023,X3,SOMATIC_SCORE,union,A,-0.499407935404359,0.163056842678076,,,,
2021-2023,X3,SOMATIC_SCORE,union,G_HBA1C,0.0520953065635507,0.303415739009126,,,,
2021-2023,X3,SOMATIC_SCORE,union,A_FROZEN_PC1_FZ,-0.195356932937658,0.111614281363875,,,,
2021-2023,X3,SOMATIC_SCORE,union,A_FROZEN_PC2_FZ,0.11797258491848,0.0495905376121051,,,,
2021-2023,X3,SOMATIC_SCORE,union,A_FROZEN_PC3_FZ,0.128057638761009,0.0400352187617856,,,,
2021-2023,X3,SOMATIC_SCORE,union,G3_FROZEN_PC1_FZ,0.0981317513205533,0.209004191821933,,,,
2021-2023,X3,SOMATIC_SCORE,union,G3_FROZEN_PC2_FZ,0.107134078556643,0.10332382867566,,,,
2021-2023,X3,SOMATIC_SCORE,union,G3_FROZEN_PC3_FZ,-0.0083533223323937,0.0784132120640404,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,A_FROZEN_PC1_FZ,-0.0688958121518503,0.200786408173802,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,A_FROZEN_PC2_FZ,0.285769631264107,0.0871560608170604,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,A_FROZEN_PC3_FZ,0.191133035037083,0.0846621955140844,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC1_FZ,0.198901337802628,0.120183153492374,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC2_FZ,0.265485028861652,0.185103134990369,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC3_FZ,0.0854593707261316,0.139004360819247,,,,
2021-2023,X3,PHQ9_TOTAL,union,A,-1.06290992682267,0.404085248715802,,,,
2021-2023,X3,PHQ9_TOTAL,union,G_HBA1C,0.401871302387202,0.479640600067789,,,,
2021-2023,X3,PHQ9_TOTAL,union,A_FROZEN_PC1_FZ,-0.334521980294325,0.243009020534395,,,,
2021-2023,X3,PHQ9_TOTAL,union,A_FROZEN_PC2_FZ,0.230745888120946,0.0918701056237613,,,,
2021-2023,X3,PHQ9_TOTAL,union,A_FROZEN_PC3_FZ,0.18496493700018,0.0900266982193751,,,,
2021-2023,X3,PHQ9_TOTAL,union,G3_FROZEN_PC1_FZ,-0.0807877629334837,0.394272600588159,,,,
2021-2023,X3,PHQ9_TOTAL,union,G3_FROZEN_PC2_FZ,0.350218470505006,0.231136122007671,,,,
2021-2023,X3,PHQ9_TOTAL,union,G3_FROZEN_PC3_FZ,0.147850256187019,0.152284987544808,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,A_FROZEN_PC1_FZ,0.0018195421122028,0.107017520381828,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,A_FROZEN_PC2_FZ,0.143728083874373,0.0671939380055512,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,A_FROZEN_PC3_FZ,0.0612914432875662,0.0605425178103493,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,G3_FROZEN_PC1_FZ,0.0685696397703933,0.0768398015237448,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,G3_FROZEN_PC2_FZ,0.168447198661304,0.117552355338945,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,G3_FROZEN_PC3_FZ,0.1049070655416,0.0815673976336796,,,,
2021-2023,X3,COGAFF_SUM,union,A,-0.56350199141831,0.268107216604922,,,,
2021-2023,X3,COGAFF_SUM,union,G_HBA1C,0.349775995823651,0.2381127278296,,,,
2021-2023,X3,COGAFF_SUM,union,A_FROZEN_PC1_FZ,-0.139165047356669,0.143800215798544,,,,
2021-2023,X3,COGAFF_SUM,union,A_FROZEN_PC2_FZ,0.112773303202466,0.0708242163568485,,,,
2021-2023,X3,COGAFF_SUM,union,A_FROZEN_PC3_FZ,0.0569072982391715,0.06395932462996,,,,
2021-2023,X3,COGAFF_SUM,union,G3_FROZEN_PC1_FZ,-0.178919514254037,0.228741976630376,,,,
2021-2023,X3,COGAFF_SUM,union,G3_FROZEN_PC2_FZ,0.243084391948363,0.132344121742673,,,,
2021-2023,X3,COGAFF_SUM,union,G3_FROZEN_PC3_FZ,0.156203578519413,0.0769002121342389,,,,
2021-2023,X0,SOMATIC_SCORE,all_PCs,A_FROZEN_PC1_FZ,-0.0629679322665595,0.0811079885443754,-0.321089750738601,0.195153886205482,0.494132564342097,0.494132564342097
2021-2023,X0,SOMATIC_SCORE,all_PCs,A_FROZEN_PC2_FZ,0.143388566143613,0.0459709710826452,-0.0029115809286552,0.289688713215882,0.0525078145031736,0.0787617217547604
2021-2023,X0,SOMATIC_SCORE,all_PCs,A_FROZEN_PC3_FZ,0.172150563817994,0.0300857915707054,0.0764041475922666,0.267896980043721,0.0105931607967313,0.0442764991856589
2021-2023,X0,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC1_FZ,0.181992098384278,0.0444106674731915,0.0406575337690356,0.32332666299952,0.0262852332573653,0.0525704665147306
2021-2023,X0,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC2_FZ,0.241928196406836,0.0476502725586788,0.0902837625567066,0.393572630256965,0.0147588330618863,0.0442764991856589
2021-2023,X0,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC3_FZ,-0.0636128864225662,0.0460239148695805,-0.210081524253955,0.0828557514088224,0.260850705375065,0.313020846450078
2021-2023,X0,SOMATIC_SCORE,union,A,-0.28064219554624,0.200530168645196,-inf,inf,0.394970408211635,
2021-2023,X0,SOMATIC_SCORE,union,G_HBA1C,-0.0527970819127439,0.288458542721482,-inf,inf,0.88475398562313,
2021-2023,X0,SOMATIC_SCORE,union,A_FROZEN_PC1_FZ,-0.13800433045418,0.10774707276082,-inf,inf,0.422010975037216,0.527094079062448
2021-2023,X0,SOMATIC_SCORE,union,A_FROZEN_PC2_FZ,0.129163114784727,0.0458661382643361,-inf,inf,0.217223056084892,0.458650846252904
2021-2023,X0,SOMATIC_SCORE,union,A_FROZEN_PC3_FZ,0.171791693719242,0.0326374123763363,-inf,inf,0.119522203939108,0.458650846252904
2021-2023,X0,SOMATIC_SCORE,union,G3_FROZEN_PC1_FZ,0.222039259032373,0.200696715316402,-inf,inf,0.467886435747969,0.527094079062448
2021-2023,X0,SOMATIC_SCORE,union,G3_FROZEN_PC2_FZ,0.228143086158704,0.0859319357170747,-inf,inf,0.229325423126452,0.458650846252904
2021-2023,X0,SOMATIC_SCORE,union,G3_FROZEN_PC3_FZ,-0.0652348583913988,0.0710380389428825,-inf,inf,0.527094079062448,0.527094079062448
2021-2023,X0,PHQ9_TOTAL,all_PCs,A_FROZEN_PC1_FZ,-0.0470778761785713,0.164773826353559,-0.571461731064914,0.477305978707771,0.793690583375603,0.793690583375603
2021-2023,X0,PHQ9_TOTAL,all_PCs,A_FROZEN_PC2_FZ,0.321922834767424,0.0709641523179851,0.096083230415462,0.547762439119387,0.0200509422291696,0.0401018844583392
2021-2023,X0,PHQ9_TOTAL,all_PCs,A_FROZEN_PC3_FZ,0.290165289237852,0.0594499187069664,0.100969115099449,0.479361463376254,0.0164423544960895,0.0401018844583392
2021-2023,X0,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC1_FZ,0.301549277743147,0.108586159223884,-0.0440203434838505,0.647118898970144,0.0691604760214388,0.10374071403215819
2021-2023,X0,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC2_FZ,0.544367819034701,0.100305670834093,0.225150407489738,0.863585230579665,0.0122766425476157,0.0401018844583392
2021-2023,X0,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC3_FZ,-0.0517253111272896,0.0999752322347057,-0.36989111957251,0.266440497317931,0.640619591392485,0.768743509670982
2021-2023,X0,PHQ9_TOTAL,union,A,-0.589468828749769,0.460654777829459,-inf,inf,0.422296826200302,
2021-2023,X0,PHQ9_TOTAL,union,G_HBA1C,0.184699422908314,0.471523759627232,-inf,inf,0.762326062710356,
2021-2023,X0,PHQ9_TOTAL,union,A_FROZEN_PC1_FZ,-0.204569764158266,0.243652260171085,-inf,inf,0.555369704029864,0.833054556044796
2021-2023,X0,PHQ9_TOTAL,union,A_FROZEN_PC2_FZ,0.286908347390225,0.072191203670965,-inf,inf,0.156927140116538,0.38063083854573
2021-2023,X0,PHQ9_TOTAL,union,A_FROZEN_PC3_FZ,0.287418151949285,0.0652118185990918,-inf,inf,0.142036895671611,0.38063083854573
