period,A_component,G_component,weighted_correlation,n_physiology
2009-2018,A_FROZEN_PC1_FZ,G3_FROZEN_PC1_FZ,0.005408581423077085,12230
2009-2018,A_FROZEN_PC1_FZ,G3_FROZEN_PC2_FZ,0.06811556527719204,12230
2009-2018,A_FROZEN_PC1_FZ,G3_FROZEN_PC3_FZ,0.16998038033291182,12230
2009-2018,A_FROZEN_PC2_FZ,G3_FROZEN_PC1_FZ,-0.14433162921430298,12230
2009-2018,A_FROZEN_PC2_FZ,G3_FROZEN_PC2_FZ,-0.15393421021393844,12230
2009-2018,A_FROZEN_PC2_FZ,G3_FROZEN_PC3_FZ,0.10398589315159061,12230
2009-2018,A_FROZEN_PC3_FZ,G3_FROZEN_PC1_FZ,0.05869103195706685,12230
2009-2018,A_FROZEN_PC3_FZ,G3_FROZEN_PC2_FZ,-0.021798043288896698,12230
2009-2018,A_FROZEN_PC3_FZ,G3_FROZEN_PC3_FZ,0.00808394042800562,12230
2021-2023,A_FROZEN_PC1_FZ,G3_FROZEN_PC1_FZ,0.04999156002503221,3010
2021-2023,A_FROZEN_PC1_FZ,G3_FROZEN_PC2_FZ,-0.013458688368550511,3010
2021-2023,A_FROZEN_PC1_FZ,G3_FROZEN_PC3_FZ,0.14060093688436825,3010
2021-2023,A_FROZEN_PC2_FZ,G3_FROZEN_PC1_FZ,-0.17327243141502188,3010
2021-2023,A_FROZEN_PC2_FZ,G3_FROZEN_PC2_FZ,-0.1881374047130366,3010
2021-2023,A_FROZEN_PC2_FZ,G3_FROZEN_PC3_FZ,0.18292216621627497,3010
2021-2023,A_FROZEN_PC3_FZ,G3_FROZEN_PC1_FZ,0.06269473512579586,3010
2021-2023,A_FROZEN_PC3_FZ,G3_FROZEN_PC2_FZ,0.0028867182753785853,3010
2021-2023,A_FROZEN_PC3_FZ,G3_FROZEN_PC3_FZ,-0.021311932828143032,3010
