"population","adjustment","outcome","model","weighted_R2","n","design_df"
"2009-2018","X3","SOMATIC_SCORE","X",0.0814659457895762,9893,78
"2009-2018","X3","SOMATIC_SCORE","X_scalarA_scalarG",0.0853345131419262,9893,78
"2009-2018","X3","SOMATIC_SCORE","X_Apcs_scalarG",0.0881888967683024,9893,78
"2009-2018","X3","SOMATIC_SCORE","X_scalarA_Gpcs",0.0854685865338697,9893,78
"2009-2018","X3","SOMATIC_SCORE","X_Apcs_Gpcs",0.0884804198323877,9893,78
"2009-2018","X3","SOMATIC_SCORE","X_scalars_Apcs_Gpcs",0.0889778598034505,9893,78
"2009-2018","X3","PHQ9_TOTAL","X",0.0861730048880671,9893,78
"2009-2018","X3","PHQ9_TOTAL","X_scalarA_scalarG",0.0879240873331381,9893,78
"2009-2018","X3","PHQ9_TOTAL","X_Apcs_scalarG",0.0903344258663348,9893,78
"2009-2018","X3","PHQ9_TOTAL","X_scalarA_Gpcs",0.0881519151774105,9893,78
"2009-2018","X3","PHQ9_TOTAL","X_Apcs_Gpcs",0.0906987112600882,9893,78
"2009-2018","X3","PHQ9_TOTAL","X_scalars_Apcs_Gpcs",0.0908787505182062,9893,78
"2009-2018","X3","COGAFF_SUM","X",0.067840668053248,9893,78
"2009-2018","X3","COGAFF_SUM","X_scalarA_scalarG",0.0681560541557595,9893,78
"2009-2018","X3","COGAFF_SUM","X_Apcs_scalarG",0.0695167567199594,9893,78
"2009-2018","X3","COGAFF_SUM","X_scalarA_Gpcs",0.0683422856858654,9893,78
"2009-2018","X3","COGAFF_SUM","X_Apcs_Gpcs",0.0697725902439363,9893,78
"2009-2018","X3","COGAFF_SUM","X_scalars_Apcs_Gpcs",0.0698069082776311,9893,78
"2021-2023","X3","SOMATIC_SCORE","X",0.0891121331232594,2247,15
"2021-2023","X3","SOMATIC_SCORE","X_scalarA_scalarG",0.0914854705278414,2247,15
"2021-2023","X3","SOMATIC_SCORE","X_Apcs_scalarG",0.097102726382897,2247,15
"2021-2023","X3","SOMATIC_SCORE","X_scalarA_Gpcs",0.0929779684784174,2247,15
"2021-2023","X3","SOMATIC_SCORE","X_Apcs_Gpcs",0.0997804962326015,2247,15
"2021-2023","X3","SOMATIC_SCORE","X_scalars_Apcs_Gpcs",0.103172972331563,2247,15
"2021-2023","X3","PHQ9_TOTAL","X",0.076184432338168,2247,15
"2021-2023","X3","PHQ9_TOTAL","X_scalarA_scalarG",0.0786619892153075,2247,15
"2021-2023","X3","PHQ9_TOTAL","X_Apcs_scalarG",0.0810956373366535,2247,15
"2021-2023","X3","PHQ9_TOTAL","X_scalarA_Gpcs",0.0816163546808283,2247,15
"2021-2023","X3","PHQ9_TOTAL","X_Apcs_Gpcs",0.0848073526119917,2247,15
"2021-2023","X3","PHQ9_TOTAL","X_scalars_Apcs_Gpcs",0.0884682101743841,2247,15
"2021-2023","X3","COGAFF_SUM","X",0.0572545416890931,2247,15
"2021-2023","X3","COGAFF_SUM","X_scalarA_scalarG",0.0596461672675143,2247,15
"2021-2023","X3","COGAFF_SUM","X_Apcs_scalarG",0.0600668955511477,2247,15
"2021-2023","X3","COGAFF_SUM","X_scalarA_Gpcs",0.063677589950372,2247,15
"2021-2023","X3","COGAFF_SUM","X_Apcs_Gpcs",0.0643082817483074,2247,15
"2021-2023","X3","COGAFF_SUM","X_scalars_Apcs_Gpcs",0.0672951758063287,2247,15
"2021-2023","X0","SOMATIC_SCORE","X",0.0456122586879575,2590,15
"2021-2023","X0","SOMATIC_SCORE","X_scalarA_scalarG",0.0486219157473174,2590,15
"2021-2023","X0","SOMATIC_SCORE","X_Apcs_scalarG",0.0567021499357225,2590,15
"2021-2023","X0","SOMATIC_SCORE","X_scalarA_Gpcs",0.0644869387937111,2590,15
"2021-2023","X0","SOMATIC_SCORE","X_Apcs_Gpcs",0.0757948329535835,2590,15
"2021-2023","X0","SOMATIC_SCORE","X_scalars_Apcs_Gpcs",0.0771450611347837,2590,15
"2021-2023","X0","PHQ9_TOTAL","X",0.0383896949740842,2590,15
"2021-2023","X0","PHQ9_TOTAL","X_scalarA_scalarG",0.0401890232064447,2590,15
"2021-2023","X0","PHQ9_TOTAL","X_Apcs_scalarG",0.0449332268353206,2590,15
"2021-2023","X0","PHQ9_TOTAL","X_scalarA_Gpcs",0.055223598568939,2590,15
"2021-2023","X0","PHQ9_TOTAL","X_Apcs_Gpcs",0.0633132888162128,2590,15
"2021-2023","X0","PHQ9_TOTAL","X_scalars_Apcs_Gpcs",0.0646332930343536,2590,15
"2021-2023","X0","COGAFF_SUM","X",0.0312380587311811,2590,15
"2021-2023","X0","COGAFF_SUM","X_scalarA_scalarG",0.0325253217572902,2590,15
"2021-2023","X0","COGAFF_SUM","X_Apcs_scalarG",0.0345674931065982,2590,15
"2021-2023","X0","COGAFF_SUM","X_scalarA_Gpcs",0.0432647626940943,2590,15
"2021-2023","X0","COGAFF_SUM","X_Apcs_Gpcs",0.0476381296830007,2590,15
"2021-2023","X0","COGAFF_SUM","X_scalars_Apcs_Gpcs",0.0488092778262595,2590,15
