population,adjustment,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
2005-2008,X3,SOMATIC_SCORE,all_PCs,A_OI_PC1_FZ,-0.220877004911463,0.0465966293888805,-0.323435494706679,-0.118318515116248,0.0006092512314488,0.0036555073886928
2005-2008,X3,SOMATIC_SCORE,all_PCs,A_OI_PC2_FZ,0.0235413313374906,0.0513399046953103,-0.0894570370174064,0.136539699692388,0.655492266863843,0.7865907202366116
2005-2008,X3,SOMATIC_SCORE,all_PCs,A_OI_PC3_FZ,0.133615899884758,0.0540902040407464,0.014564163484747,0.25266763628477,0.0311080722432713,0.06221614448654259
2005-2008,X3,SOMATIC_SCORE,all_PCs,G3_OI_PC1_FZ,0.139300286774447,0.048479131573979,0.0325984376059891,0.246002135942904,0.0151489030988545,0.0454467092965635
2005-2008,X3,SOMATIC_SCORE,all_PCs,G3_OI_PC2_FZ,0.0741520857315413,0.0607211312733417,-0.0594942231050599,0.207798394568143,0.247542152554487,0.3713132288317305
2005-2008,X3,SOMATIC_SCORE,all_PCs,G3_OI_PC3_FZ,-0.0073018717876134,0.0382277652675237,-0.0914406158448998,0.0768368722696728,0.851997845666301,0.851997845666301
2005-2008,X3,SOMATIC_SCORE,union,A,-0.0035424173940802,0.13348848163472,-0.30551434227512,0.298429507486959,0.979407925583658,
2005-2008,X3,SOMATIC_SCORE,union,G_HBA1C,0.0523827083179818,0.198621707708623,-0.396930810462291,0.501696227098254,0.797926373855013,
2005-2008,X3,SOMATIC_SCORE,union,A_OI_PC1_FZ,-0.222061977339519,0.0564591323617532,-0.349781408017031,-0.0943425466620071,0.0034415717101037,0.0206494302606222
2005-2008,X3,SOMATIC_SCORE,union,A_OI_PC2_FZ,0.0217362405452495,0.0501885635005009,-0.0917981778679613,0.13527065895846,0.675142235204502,0.8101706822454023
2005-2008,X3,SOMATIC_SCORE,union,A_OI_PC3_FZ,0.133338414534413,0.0535807509511747,0.0121303349821063,0.254546494086719,0.0345039600266277,0.1035118800798831
2005-2008,X3,SOMATIC_SCORE,union,G3_OI_PC1_FZ,0.102219501847454,0.150048702425172,-0.237214245112225,0.441653248807133,0.512863765633813,0.7692956484507194
2005-2008,X3,SOMATIC_SCORE,union,G3_OI_PC2_FZ,0.085363776319249,0.0852060025736253,-0.10738559271608,0.278113145354578,0.342588630784931,0.685177261569862
2005-2008,X3,SOMATIC_SCORE,union,G3_OI_PC3_FZ,-0.0005658179511808,0.0524521809096106,-0.119220894700244,0.118089258797882,0.991628474464501,0.991628474464501
2005-2008,X3,PHQ9_TOTAL,all_PCs,A_OI_PC1_FZ,-0.405960758672274,0.0956168967771029,-0.616412129532692,-0.195509387811857,0.0013756346381652,0.0082538078289912
2005-2008,X3,PHQ9_TOTAL,all_PCs,A_OI_PC2_FZ,0.0246812814067753,0.0980391793390199,-0.19110149742597,0.240464060239521,0.805876417690459,0.8425700088922831
2005-2008,X3,PHQ9_TOTAL,all_PCs,A_OI_PC3_FZ,0.23633696228838,0.0955549549803631,0.0260219244033763,0.446652000173384,0.0309391313875209,0.0618782627750418
