"population","adjustment","outcome","full_design_n","domain_n","full_design_df","domain_design_df"
"2005-2008","X3","SOMATIC_SCORE",6667,3830,31,31
"2005-2008","X3","PHQ9_TOTAL",6667,3815,31,31
"2005-2008","X3","COGAFF_SUM",6667,3815,31,31
"2009-2018","X3","SOMATIC_SCORE",16376,9919,78,78
"2009-2018","X3","PHQ9_TOTAL",16376,9893,78,78
"2009-2018","X3","COGAFF_SUM",16376,9893,78,78
"2021-2023","X3","SOMATIC_SCORE",3996,2261,15,15
"2021-2023","X3","PHQ9_TOTAL",3996,2247,15,15
"2021-2023","X3","COGAFF_SUM",3996,2247,15,15
"2021-2023","X0","SOMATIC_SCORE",3996,2613,15,15
"2021-2023","X0","PHQ9_TOTAL",3996,2590,15,15
"2021-2023","X0","COGAFF_SUM",3996,2590,15,15
