population,adjustment,outcome,n,delta_scalar_model_beyond_X,delta_all_PCs_beyond_X,delta_all_PCs_beyond_scalar_model,delta_scalars_beyond_all_PCs,delta_Apcs_scalarG_beyond_scalars,delta_Ascalar_Gpcs_beyond_scalars
2005-2008,X3,COGAFF_SUM,3815,0.002636617481150391,0.007985610344575289,0.005564455737899307,0.00021546287447440915,0.004279870287363707,0.0005861520505515971
2005-2008,X3,PHQ9_TOTAL,3815,0.004323795443881395,0.0137504880692048,0.009566965477586398,0.00014027285226299313,0.0073997372009754064,0.0011138369459687963
2005-2008,X3,SOMATIC_SCORE,3830,0.004512323388822195,0.014676120040210391,0.010197494548963792,3.369789757559638e-05,0.008037803162023696,0.0011083878190271956
2009-2018,X3,COGAFF_SUM,9893,0.0003153861025115001,0.001931695482161308,0.0016506461487177104,3.4336769067902506e-05,0.0013604664858115068,0.0001862315301058015
2009-2018,X3,PHQ9_TOTAL,9893,0.001751082445070995,0.0045255537024466025,0.002954544565103398,0.0001800733077277905,0.0024101658236315993,0.00022782784427240188
2009-2018,X3,SOMATIC_SCORE,9919,0.003977221175827911,0.007120113029131708,0.0036859554576171016,0.0005430636043133041,0.002886037389529292,0.00010119931339319654
2021-2023,X0,COGAFF_SUM,2590,0.0012872630261090978,0.016400063516817602,0.016283959554679102,0.0011711590639705977,0.0020421703889796985,0.010739440936804102
2021-2023,X0,PHQ9_TOTAL,2590,0.0017993282323605017,0.02492360887059151,0.024444286678400706,0.0013200060401696995,0.004744235902539702,0.0150345753624943
2021-2023,X0,SOMATIC_SCORE,2613,0.003196987856554201,0.030787504892953496,0.0290581952655206,0.0014676782291213053,0.008816917528127098,0.015447551043343902
2021-2023,X3,COGAFF_SUM,2247,0.002391625578421201,0.007053783294532094,0.007648969696010699,0.002986811979899806,0.0004208327174919993,0.004031422682857694
2021-2023,X3,PHQ9_TOTAL,2247,0.002477556877139492,0.008622920366394698,0.009806161815123199,0.003660798325867992,0.0024336521662995103,0.002954365465520803
2021-2023,X3,SOMATIC_SCORE,2261,0.0024612416490839006,0.010989409582267101,0.012221400147845396,0.0036932322146621954,0.006135850538837889,0.0012355157149627899
