"population","adjustment","outcome","model","weighted_R2","n","design_df_full","design_df_domain"
"2005-2008","X3","SOMATIC_SCORE","X",0.0773471113339314,3830,31,31
"2005-2008","X3","SOMATIC_SCORE","X_scalarA_scalarG",0.0818594347227536,3830,31,31
"2005-2008","X3","SOMATIC_SCORE","X_Apcs_scalarG",0.0898972378847773,3830,31,31
"2005-2008","X3","SOMATIC_SCORE","X_scalarA_Gpcs",0.0829678225417808,3830,31,31
"2005-2008","X3","SOMATIC_SCORE","X_Apcs_Gpcs",0.0920232313741418,3830,31,31
"2005-2008","X3","SOMATIC_SCORE","X_scalars_Apcs_Gpcs",0.0920569292717174,3830,31,31
"2005-2008","X3","PHQ9_TOTAL","X",0.0901488817526872,3815,31,31
"2005-2008","X3","PHQ9_TOTAL","X_scalarA_scalarG",0.0944726771965686,3815,31,31
"2005-2008","X3","PHQ9_TOTAL","X_Apcs_scalarG",0.101872414397544,3815,31,31
"2005-2008","X3","PHQ9_TOTAL","X_scalarA_Gpcs",0.0955865141425374,3815,31,31
"2005-2008","X3","PHQ9_TOTAL","X_Apcs_Gpcs",0.103899369821892,3815,31,31
"2005-2008","X3","PHQ9_TOTAL","X_scalars_Apcs_Gpcs",0.104039642674155,3815,31,31
"2005-2008","X3","COGAFF_SUM","X",0.0722937813741281,3815,31,31
"2005-2008","X3","COGAFF_SUM","X_scalarA_scalarG",0.0749303988552785,3815,31,31
"2005-2008","X3","COGAFF_SUM","X_Apcs_scalarG",0.0792102691426422,3815,31,31
"2005-2008","X3","COGAFF_SUM","X_scalarA_Gpcs",0.0755165509058301,3815,31,31
"2005-2008","X3","COGAFF_SUM","X_Apcs_Gpcs",0.0802793917187034,3815,31,31
"2005-2008","X3","COGAFF_SUM","X_scalars_Apcs_Gpcs",0.0804948545931778,3815,31,31
"2009-2018","X3","SOMATIC_SCORE","X",0.081407857178308,9919,78,78
"2009-2018","X3","SOMATIC_SCORE","X_scalarA_scalarG",0.0853850783541359,9919,78,78
"2009-2018","X3","SOMATIC_SCORE","X_Apcs_scalarG",0.0882711157436652,9919,78,78
"2009-2018","X3","SOMATIC_SCORE","X_scalarA_Gpcs",0.0854862776675291,9919,78,78
"2009-2018","X3","SOMATIC_SCORE","X_Apcs_Gpcs",0.0885279702074397,9919,78,78
"2009-2018","X3","SOMATIC_SCORE","X_scalars_Apcs_Gpcs",0.089071033811753,9919,78,78
"2009-2018","X3","PHQ9_TOTAL","X",0.0861730048880671,9893,78,78
"2009-2018","X3","PHQ9_TOTAL","X_scalarA_scalarG",0.0879240873331381,9893,78,78
"2009-2018","X3","PHQ9_TOTAL","X_Apcs_scalarG",0.0903342531567697,9893,78,78
"2009-2018","X3","PHQ9_TOTAL","X_scalarA_Gpcs",0.0881519151774105,9893,78,78
"2009-2018","X3","PHQ9_TOTAL","X_Apcs_Gpcs",0.0906985585905137,9893,78,78
"2009-2018","X3","PHQ9_TOTAL","X_scalars_Apcs_Gpcs",0.0908786318982415,9893,78,78
"2009-2018","X3","COGAFF_SUM","X",0.067840668053248,9893,78,78
