period,group,variable,n_observed,weighted_mean,missing_fraction
2005-2008,included,RIDAGEYR,3830,46.61470169046942,0.0
2005-2008,included,BMXBMI,3830,28.61895712847459,0.0
2005-2008,included,LBXHGB,3830,14.55215666219208,0.0
2005-2008,included,LBXGH,3830,5.513495899013905,0.0
2005-2008,included,LBXGLU,3830,104.47015668106306,0.0
2005-2008,excluded,RIDAGEYR,2837,30.031674085475835,0.0
2005-2008,excluded,BMXBMI,2723,25.491058710270966,0.04018329221008107
2005-2008,excluded,LBXHGB,2419,14.232368676264493,0.1473387381036306
2005-2008,excluded,LBXGH,2411,5.338737838878885,0.150158618258724
2005-2008,excluded,LBXGLU,2408,100.66671748089497,0.15121607331688403
2009-2018,included,RIDAGEYR,9919,47.682585419880226,0.0
2009-2018,included,BMXBMI,9919,29.253245770988837,0.0
2009-2018,included,LBXHGB,9919,14.315196155024394,0.0
2009-2018,included,LBXGH,9919,5.65179331651359,0.0
2009-2018,included,LBXGLU,9919,107.09854055386651,0.0
2009-2018,excluded,RIDAGEYR,6457,32.54897407095766,0.0
2009-2018,excluded,BMXBMI,6238,26.713147681050305,0.03391667957255692
2009-2018,excluded,LBXHGB,5603,14.047313272491193,0.132259563264674
2009-2018,excluded,LBXGH,5589,5.464283070823272,0.13442775282638997
2009-2018,excluded,LBXGLU,5535,100.89644072395825,0.1427907697072944
2021-2023,included,RIDAGEYR,2261,49.11813397029938,0.0
2021-2023,included,BMXBMI,2261,29.669069923144328,0.0
2021-2023,included,LBXHGB,2261,14.15440543118627,0.0
2021-2023,included,LBXGH,2261,5.665481358735631,0.0
2021-2023,included,LBXGLU,2261,107.86250479207429,0.0
2021-2023,excluded,RIDAGEYR,1735,37.28635182726566,0.0
2021-2023,excluded,BMXBMI,1682,27.961154447057574,0.03054755043227666
2021-2023,excluded,LBXHGB,1477,13.843908558779912,0.14870317002881844
2021-2023,excluded,LBXGH,1476,5.611123349314483,0.14927953890489915
2021-2023,excluded,LBXGLU,1411,105.02491413995396,0.1867435158501441
