"population","model","weighted_R2","n","design_df"
"2005-2008","threshold_scalars",0.0818594347227536,3830,31
"2005-2008","continuous_Hb_HbA1c",0.0831629357220867,3830,31
"2005-2008","spline_Hb_HbA1c",0.0870874526974518,3830,31
"2005-2008","raw7_multivariate",0.0927462796260299,3830,31
"2005-2008","frozen_components",0.0920232313741418,3830,31
"2009-2018","threshold_scalars",0.0853850783541359,9919,78
"2009-2018","continuous_Hb_HbA1c",0.0843253438914416,9919,78
"2009-2018","spline_Hb_HbA1c",0.0849852443385922,9919,78
"2009-2018","raw7_multivariate",0.0885583774386609,9919,78
"2009-2018","frozen_components",0.0885279702074397,9919,78
"2021-2023","threshold_scalars",0.0909975749107066,2261,15
"2021-2023","continuous_Hb_HbA1c",0.090078072257026,2261,15
"2021-2023","spline_Hb_HbA1c",0.092632218444802,2261,15
"2021-2023","raw7_multivariate",0.0995491400429259,2261,15
"2021-2023","frozen_components",0.0995257428438898,2261,15
