population,family,model,term,beta,se,ci_low,ci_high,p,p_BH_within_population_model
2005-2008,A_x_G,AxG_full,AXG_A1_G1,0.0359391812689897,0.0486954568166504,-0.173580458929551,0.245458821467531,0.537340785886757,0.9362530304596971
2005-2008,A_x_G,AxG_full,AXG_A1_G2,0.0053950269816853,0.0408952414319363,-0.170562995199184,0.181353049162555,0.907119522891265,0.9362530304596971
2005-2008,A_x_G,AxG_full,AXG_A1_G3,0.0248868396638902,0.0396638530077222,-0.145772945752153,0.195546625079934,0.594452916694838,0.9362530304596971
2005-2008,A_x_G,AxG_full,AXG_A2_G1,0.0044396642302262,0.0491463614588153,-0.207020062057782,0.215899390518235,0.936253030459697,0.9362530304596971
2005-2008,A_x_G,AxG_full,AXG_A2_G2,0.100197342697543,0.0376638197268055,-0.0618569940627752,0.262251679457861,0.117011543277898,0.9362530304596971
2005-2008,A_x_G,AxG_full,AXG_A2_G3,0.0446181156369018,0.0354854071003349,-0.108063268089613,0.197299499363416,0.335551600039326,0.9362530304596971
2005-2008,A_x_G,AxG_full,AXG_A3_G1,0.0368702039223253,0.0597539806421283,-0.220230424000904,0.293970831845555,0.600097976593869,0.9362530304596971
2005-2008,A_x_G,AxG_full,AXG_A3_G2,0.0034443244449697,0.0369823160128156,-0.155677738500016,0.162566387389955,0.934286406258525,0.9362530304596971
2005-2008,A_x_G,AxG_full,AXG_A3_G3,-0.0037111296119439,0.016377196662471,-0.0741765195373627,0.0667542603134749,0.841785323662832,0.9362530304596971
2005-2008,effect_modification,age_interactions,A1_X_AGE10,-0.023673767826957,0.0252577031255994,-0.0886007606915175,0.0412532250376033,0.391639564619581,0.783279129239162
2005-2008,effect_modification,age_interactions,A2_X_AGE10,-0.0053884730247965,0.0200858662970256,-0.0570208360809502,0.046243890031357,0.799206315914081,0.9590475790968972
2005-2008,effect_modification,age_interactions,A3_X_AGE10,-0.0354724810924625,0.0189391815974515,-0.0841571972886889,0.0132122351037638,0.119955266482688,0.486288463103127
2005-2008,effect_modification,age_interactions,G1_X_AGE10,7.03074809973973e-05,0.0259620118276745,-0.0666671685397979,0.0668077835017926,0.997943984375171,0.997943984375171
2005-2008,effect_modification,age_interactions,G2_X_AGE10,0.0143986339826053,0.0214710554407,-0.0407944711251983,0.0695917390904088,0.532195644073418,0.7982934661101271
2005-2008,effect_modification,age_interactions,G3_X_AGE10,0.0399419839623052,0.0243667147870508,-0.0226946504634184,0.102578618388029,0.162096154367709,0.486288463103127
2005-2008,effect_modification,sex_interactions,A1_X_FEMALE,-0.146490284891418,0.10413344237283,-0.414173820337295,0.121193250554458,0.21851010522794,0.32776515784191
2005-2008,effect_modification,sex_interactions,A2_X_FEMALE,0.138585534492517,0.0888369142135204,-0.0897770235187405,0.366948092503774,0.179507220516755,0.32776515784191
2005-2008,effect_modification,sex_interactions,A3_X_FEMALE,-0.164579471509792,0.0799423538606263,-0.370077834241929,0.040918891222344,0.0945863178343332,0.32776515784191
2005-2008,effect_modification,sex_interactions,G1_X_FEMALE,0.0698462151514623,0.0915232947351225,-0.165421903832232,0.305114334135157,0.479810728905752,0.5757728746869024
2005-2008,effect_modification,sex_interactions,G2_X_FEMALE,0.138747434573806,0.0750020818620848,-0.0540515546957775,0.331546423843389,0.12356231555281,0.32776515784191
2005-2008,effect_modification,sex_interactions,G3_X_FEMALE,0.0321207990403912,0.0592684159666378,-0.120233514470385,0.184475112551167,0.611118751646693,0.611118751646693
2009-2018,A_x_G,AxG_full,AXG_A1_G1,-0.0143090658865996,0.0219673736797705,-0.058527095686428,0.0299089639132288,0.518043581271141,0.774671310876394
2009-2018,A_x_G,AxG_full,AXG_A1_G2,0.0150762686570969,0.0280413287979065,-0.0413679986680617,0.0715205359822556,0.593414123709166,0.774671310876394
2009-2018,A_x_G,AxG_full,AXG_A1_G3,-0.0139847574271089,0.0223641350596136,-0.0590014264622449,0.031031911608027,0.534850662902466,0.774671310876394
2009-2018,A_x_G,AxG_full,AXG_A2_G1,-0.0048045994614839,0.0165131876161967,-0.038043922138257,0.0284347232152892,0.77239338296019,0.774671310876394
2009-2018,A_x_G,AxG_full,AXG_A2_G2,0.0252290183144737,0.0210560874232351,-0.0171546873902191,0.0676127240191664,0.236983342344274,0.774671310876394
2009-2018,A_x_G,AxG_full,AXG_A2_G3,0.0050972946607971,0.0177014374235733,-0.0305338508236612,0.0407284401452555,0.774671310876394,0.774671310876394
