component,variable,loading,evr
PC1,LBXGH,0.523850238418154,0.6016503526480991
PC1,LBXGLU,0.5740695995597226,0.6016503526480991
PC1,LOG_IN,0.33218544679245976,0.6016503526480991
PC1,LBXGLT,0.5344884016607621,0.6016503526480991
PC2,LBXGH,-0.3364226027476556,0.21018824948394926
PC2,LBXGLU,-0.12656953865915405,0.21018824948394926
PC2,LOG_IN,0.9266327791970574,0.21018824948394926
PC2,LBXGLT,-0.11023464410809472,0.21018824948394926
PC3,LBXGH,-0.6259410173631219,0.11447417469057222
PC3,LBXGLU,-0.05703596838813929,0.11447417469057222
PC3,LOG_IN,-0.14411961233587883,0.11447417469057222
PC3,LBXGLT,0.7643129453519693,0.11447417469057222
PC4,LBXGH,-0.4696792552925406,0.07368722317737936
PC4,LBXGLU,0.8069517612936815,0.07368722317737936
PC4,LOG_IN,-0.1011635250324262,0.07368722317737936
PC4,LBXGLT,-0.34350573982960286,0.07368722317737936
