population,variable,included_n_observed,excluded_n_observed,included_weighted_mean,excluded_weighted_mean,weighted_SMD
2005-2008,RIDAGEYR,3830,1039,46.61470169046942,49.48041616679751,-0.16367307754157323
2005-2008,INDFMPIR,3830,689,3.151758716192183,2.482724718407498,0.42972149434269974
2005-2008,BMXBMI,3830,942,28.61895712847459,27.893564715765663,0.11158924649480151
2005-2008,EGFR_2021,3830,735,95.255378704137,95.91674805787355,-0.030359517818052118
2005-2008,A,3830,785,0.05408451254607177,0.0877113311331396,-0.09504897418454124
2005-2008,G_HBA1C,3830,777,0.18994756684196062,0.2880836384360613,-0.1190632313308793
2009-2018,RIDAGEYR,9919,3304,47.68258541988022,48.18742947203003,-0.02963101221768515
2009-2018,INDFMPIR,9919,1983,2.959606222742086,2.6353372210070454,0.19633831015677303
2009-2018,BMXBMI,9919,3133,29.253245770988833,29.007685727997078,0.03458430954855794
2009-2018,EGFR_2021,9919,2509,96.63924628927428,97.17171296716047,-0.025142213373080615
2009-2018,A,9919,2723,0.06437546172410825,0.08747134166800173,-0.0606565972883517
2009-2018,G_HBA1C,9919,2715,0.25263926467167547,0.28240671910270104,-0.035752521286099494
2021-2023,RIDAGEYR,2261,1136,49.11813397029938,48.39835803369853,0.04088714165173035
2021-2023,INDFMPIR,2261,679,3.2424609628932286,2.644895405540827,0.37088662881046774
2021-2023,BMXBMI,2261,1091,29.669069923144328,29.740179515041298,-0.009310785604522427
2021-2023,EGFR_2021,2261,782,95.73458951444091,97.38650449296532,-0.07913619014583431
2021-2023,A,2261,974,0.06774393272096414,0.14628740550935612,-0.17348723245458544
2021-2023,G_HBA1C,2261,976,0.2749008303578665,0.43194157943716055,-0.14860075233597672
