slide_id,title,outfile,source_type,notes
A06,2021-2023 G Diagnostic Ladder,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Appendix\A6_modern_G_diagnostic_ladder.png,existing_direct_copy,
A07,Reference-Preservation Audit Architecture,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Appendix\A7_reference_preservation_audit_architecture.png,placeholder_missing_source,
S02,Clinical and Translational Motivation,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S02_clinical_translational_motivation.png,generated_conceptual,
S03,"The Domains Are Coupled, but Not Equivalent",D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S03_domains_coupled_not_equivalent.png,generated_conceptual,
S04,Observed Phenotype Ambiguity,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S04_observed_phenotype_ambiguity.png,generated_conceptual,
S06,Why Has This Exact Problem Remained Open?,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S06_why_problem_remained_open.png,generated_conceptual,
S07,Thesis Objective and Research Questions,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S07_thesis_objective_and_rqs.png,generated_conceptual,
S08,From the Preliminary Study to the Proposed PhD Framework,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S08_current_vs_proposed_architecture.png,existing_direct_copy,Direct existing asset
S09,Reference-Preserving Decomposition,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S09_reference_preserving_decomposition.png,generated_conceptual,
S10,Data and Validation Strategy,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S10_data_and_validation_strategy.png,generated_conceptual,
S11,Preliminary Discovery Cohort,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S11_discovery_cohort_flow.png,existing_direct_copy,Direct existing asset
S12,First Operational Physiological Representation,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S12_first_operational_physiological_representation.png,combined_existing_assets,
S13,Feasibility: The Two Domains Contain Non-Identical Information,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S13_feasibility_nonidentical_information.png,combined_existing_assets,
S14,The Phenotype Also Contains Reproducible Structure,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S14_phenotype_structure.png,combined_existing_assets,
S15,Why the Scalar Hemoglobin Representation Is Not Enough,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S15_scalar_representation_is_not_enough.png,existing_direct_copy,Direct existing asset
S16,"Transfer Is a Scientific Test, Not an Assumption",D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S16_transfer_is_a_scientific_test.png,combined_existing_assets,
S17,Methodological Program,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S17_methodological_program.png,generated_conceptual,
S18,Validation and Explicit Failure Criteria,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S18_validation_and_failure_criteria.png,generated_conceptual,
S19,"Work Packages, Timeline, and Deliverables",D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S19_work_packages_timeline.png,generated_conceptual,
S20,Expected Contribution and Thesis Boundary,D:\Hematological and Glycemic Decomposition of Depression\Results\Presentation_Deck_Visuals\Main\S20_expected_contribution_and_boundary.png,generated_conceptual,
