path,bytes,sha256
Results\Presentation_Evidence\34_PRESENTATION_EVIDENCE_GUIDE.md,12815,5f7db8703c9145690b104db0e858728edca8020f3019746a88995df2d4170887
Results\Presentation_Evidence\Figures\34_01_discovery_cohort_flow.png,230701,fb720aa4499479cda279b7c626b0c838f6ed762672a78c924edf1635c08cad59
Results\Presentation_Evidence\Figures\34_02_transfer_cohort_sizes.png,91061,8463ca7f0ec4542ce95e208cd559f5a46bed0732cb12c47ceceedd31147e79e5
Results\Presentation_Evidence\Figures\34_03_ridageyr_distribution.png,79067,cbbdb168e01171e5609ddfd39cef2bce1dc64cf75be7be838377d852f2b45db4
Results\Presentation_Evidence\Figures\34_04_lbxhgb_distribution.png,76629,9499e186509039dd7d6afda884d8a5eff8f90e08890c2792538f32d5fd8de65d
Results\Presentation_Evidence\Figures\34_05_lbxgh_distribution.png,71432,ba8676498b85072536454bc9b2bf911b7b27195ef6c4835dbd247ded2ffd3bf9
Results\Presentation_Evidence\Figures\34_06_phq9_total_distribution.png,71565,e75981edd499efb42146a848cc2cad9d3bfab73ba6870d3ad9fc2a2ac2ad7fd6
Results\Presentation_Evidence\Figures\34_07_somatic_score_distribution.png,94098,96dcd75cdf94dcc902e2df040f2857af83070f3e2c818ce58579b510c0c06293
Results\Presentation_Evidence\Figures\34_08_hb_to_A_transform.png,157386,447c7b2a472f3d63e7f843e36ca8f3926836193852107804c0d6bd50c19246da
Results\Presentation_Evidence\Figures\34_09_hba1c_to_G_transform.png,121923,9753cf2c294d40151bad7465a6a52e484f6a1f7872fcc7563a38b007fe8ab366
Results\Presentation_Evidence\Figures\34_10_operational_y_correlation.png,204676,bdba3456973b41270de9381dab2e83552482a0345fddb548a8aff270821a1a91
Results\Presentation_Evidence\Figures\34_11_x_to_y_operational_pipeline.png,217117,9f5eb2b3801e9f867e2cc01d10c2a195402ef1f757ccfecfc8db1bb02b744610
