period,variable,n,mean,sd,median,p25,p75,zero_pct
2009-2018,A,26110,0.1130486403676752,0.4668924917822634,0.0,0.0,0.0,89.28379931060896
2009-2018,G_HBA1C,26100,0.3607701149425287,0.9755696686676362,0.0,0.0,0.2000000000000001,65.15325670498085
2009-2018,SOMATIC_SCORE,24509,1.7638010526745278,2.130050755016168,1.0,0.0,3.0,39.09992247745726
2009-2018,PHQ9_TOTAL,24419,3.257586305745526,4.35761056629929,2.0,0.0,5.0,33.42479217003153
2009-2018,LBXHGB,26110,13.983466104940636,1.5265195928616924,14.0,13.0,15.0,0.0
2009-2018,LBXGH,26100,5.8069540229885055,1.1066599594918325,5.5,5.3,5.9,0.0
2021-2023,A,5731,0.1141511080090734,0.4649836914966537,0.0,0.0,0.0,89.28633746292095
2021-2023,G_HBA1C,5730,0.3542582897033158,0.9814851810975294,0.0,0.0,0.2000000000000001,66.68411867364748
2021-2023,SOMATIC_SCORE,5217,2.095648840329692,2.1867941993997184,2.0,0.0,3.0,29.748897834004215
2021-2023,PHQ9_TOTAL,5175,4.034009661835749,4.679772788011498,2.0,1.0,6.0,24.88888888888889
2021-2023,LBXHGB,5731,13.893683475833186,1.4753691135647835,13.9,13.0,14.9,0.0
2021-2023,LBXGH,5730,5.792600349040139,1.1142177885373743,5.5,5.3,5.9,0.0
