variable,metric,fit_0506,synthetic,check_0708,smd_synth_vs_fit,smd_check_vs_fit
RIDAGEYR,mean,46.741506760502396,46.6623,46.488768250029075,-0.004798873944738693,-0.015312584999683491
INDFMPIR,mean,3.1736585527297083,3.1864230000000004,3.130009414216054,0.00829636449085815,-0.028370140528062308
BMXBMI,mean,28.96615877227871,28.812065000000004,28.2741420708478,-0.021273108477381206,-0.09553498587258306
EGFR_2021,mean,93.04948209605936,93.04718920416066,97.44611247399817,-0.00011422818470846755,0.2190330504415553
A_SCALAR,mean,0.03991134816621572,0.038239999999999996,0.06816025377485187,-0.005934075788726375,0.10029696398313928
G_SCALAR,mean,0.18083356252670602,0.17660999999999996,0.19899892353700033,-0.005619406397559872,0.024168825542365848
LBXHGB,mean,14.652431414505768,14.668729999999998,14.45257117602122,0.011137725450234363,-0.1365755614465636
LBXRBCSI,mean,4.805446829754937,4.809776999999999,4.750250714861217,0.008735382382273386,-0.11134877899139868
LBXMCVSI,mean,90.4890987442801,90.50081999999999,88.4955917266644,0.0021335718906323,-0.36286986976533503
LBXRDW,mean,12.690970864001658,12.6773,12.757625858040068,-0.013319970625281875,0.0649441441676504
LBXGH,mean,5.461993973087295,5.452579999999999,5.564643812260226,-0.010268679904706646,0.11196955110897501
LBXGLU,mean,102.99171436498509,102.8225,105.93843651646586,-0.006354684159442297,0.11066134119253752
LBXIN,mean,10.876370759659343,10.696480000000001,11.706701332870441,-0.01804994885310065,0.08331403128213843
LOG_IN,mean,2.0989700251841414,2.0832082046776095,2.2130357321975667,-0.02083819967198002,0.15080262952406348
A_OI_PC1,mean,0.24422416236264535,0.26203990706832503,-0.014070951085023934,0.013393704389604015,-0.19418376564940418
A_OI_PC2,mean,0.0714739274642521,0.0726081531260973,-0.14423671402149893,0.0009316788465867302,-0.1771896443684577
A_OI_PC3,mean,0.12030378365108499,0.11557841209057006,-0.07763206804538025,-0.006436570270751654,-0.2696143577768821
G3_OI_PC1,mean,-0.11914596611546527,-0.13591630999464543,0.06711791774346862,-0.012826549653077009,0.1424611786200522
G3_OI_PC2,mean,-0.05784689827026917,-0.07500146709557773,0.048810499883752266,-0.01715843846672195,0.10668145739381604
G3_OI_PC3,mean,0.011131498964603153,0.016105367630431376,-0.010495578242681351,0.012543385045436431,-0.05454039401604906
SOMATIC_SCORE,mean,1.4933418116677,1.4452,1.7181342098549683,-0.02604634462467424,0.12162027288476417
RIAGENDR=1.0,proportion,0.49439416539551895,0.4936,0.49703168504735784,,
RIAGENDR=2.0,proportion,0.5056058346044809,0.5064,0.502968314952642,,
RACE=1.0,proportion,0.07144186303107114,0.0711,0.07946473722391988,,
RACE=2.0,proportion,0.03332021613041371,0.0348,0.04021026955553683,,
RACE=3.0,proportion,0.7399511743233803,0.7428,0.7186730492713864,,
RACE=4.0,proportion,0.10452775437976333,0.1007,0.10455612122446648,,
RACE=5.0,proportion,0.050758992135371515,0.0506,0.057095822724690236,,
EDUC3=1.0,proportion,0.15822505629784422,0.1508,0.1838403259370204,,
EDUC3=2.0,proportion,0.2644328362733011,0.2735,0.24575342267605682,,
EDUC3=3.0,proportion,0.5773421074288547,0.5757,0.5704062513869226,,
SMOKING3=0.0,proportion,0.48681666706218935,0.4913,0.5336694584317518,,
SMOKING3=1.0,proportion,0.2582656640663005,0.2567,0.25036807584408993,,
SMOKING3=2.0,proportion,0.2549176688715101,0.252,0.2159624657241582,,
