SYNTH_ID,PERSON_SET
SYN_000001,HOLDOUT
SYN_000002,DEVELOPMENT
SYN_000003,DEVELOPMENT
SYN_000004,DEVELOPMENT
SYN_000005,HOLDOUT
SYN_000006,DEVELOPMENT
SYN_000007,HOLDOUT
SYN_000008,HOLDOUT
SYN_000009,DEVELOPMENT
SYN_000010,DEVELOPMENT
SYN_000011,DEVELOPMENT
SYN_000012,DEVELOPMENT
SYN_000013,DEVELOPMENT
SYN_000014,DEVELOPMENT
SYN_000015,DEVELOPMENT
SYN_000016,DEVELOPMENT
SYN_000017,DEVELOPMENT
SYN_000018,DEVELOPMENT
SYN_000019,HOLDOUT
SYN_000020,DEVELOPMENT
SYN_000021,DEVELOPMENT
SYN_000022,DEVELOPMENT
SYN_000023,DEVELOPMENT
SYN_000024,DEVELOPMENT
SYN_000025,HOLDOUT
SYN_000026,DEVELOPMENT
SYN_000027,DEVELOPMENT
SYN_000028,DEVELOPMENT
SYN_000029,HOLDOUT
SYN_000030,DEVELOPMENT
SYN_000031,DEVELOPMENT
SYN_000032,DEVELOPMENT
SYN_000033,DEVELOPMENT
SYN_000034,DEVELOPMENT
SYN_000035,DEVELOPMENT
SYN_000036,DEVELOPMENT
SYN_000037,DEVELOPMENT
SYN_000038,DEVELOPMENT
SYN_000039,DEVELOPMENT
SYN_000040,DEVELOPMENT
SYN_000041,DEVELOPMENT
SYN_000042,DEVELOPMENT
SYN_000043,DEVELOPMENT
SYN_000044,DEVELOPMENT
SYN_000045,HOLDOUT
SYN_000046,DEVELOPMENT
SYN_000047,DEVELOPMENT
SYN_000048,DEVELOPMENT
SYN_000049,DEVELOPMENT
SYN_000050,DEVELOPMENT
SYN_000051,HOLDOUT
SYN_000052,DEVELOPMENT
SYN_000053,DEVELOPMENT
SYN_000054,DEVELOPMENT
SYN_000055,DEVELOPMENT
SYN_000056,DEVELOPMENT
SYN_000057,DEVELOPMENT
SYN_000058,DEVELOPMENT
SYN_000059,DEVELOPMENT
SYN_000060,DEVELOPMENT
SYN_000061,HOLDOUT
SYN_000062,DEVELOPMENT
SYN_000063,DEVELOPMENT
SYN_000064,DEVELOPMENT
SYN_000065,DEVELOPMENT
SYN_000066,HOLDOUT
SYN_000067,HOLDOUT
SYN_000068,DEVELOPMENT
SYN_000069,DEVELOPMENT
SYN_000070,DEVELOPMENT
SYN_000071,HOLDOUT
SYN_000072,DEVELOPMENT
